0;0;0
0;138;-5
-21;318;-11
-21;494;-8
10;644;-9
44;739;-8
86;817;-5
148;906;0
217;979;3
448;1179;6
644;1362;4
730;1466;7
797;1585;9
819;1638;9
849;1736;8
879;1937;3
910;2205;-3
950;2406;-7
1028;2665;-10
1088;2818;-12
1188;3025;-14
1278;3193;-18
1383;3370;-23
1496;3544;-21
1590;3678;-21
1722;3850;-19
1835;3975;-24
1962;4091;-21
2108;4199;-15
2288;4307;-17
2560;4418;-20
2960;4502;-27
3242;4526;-27
3512;4549;-27
3701;4575;-22
3908;4622;-16
4058;4681;-14
4335;4836;-13
4473;4951;-16
4598;5087;-14
4700;5236;-4
4802;5447;5
4849;5604;8
4883;5889;7
4880;6085;13
4865;6305;17
4847;6466;19
4820;6634;17
4784;6813;13
4724;7042;11
4679;7189;11
4626;7343;8
4547;7563;2
4493;7733;-1
4453;7890;-6
4420;8093;-11
4410;8285;-15
4418;8445;-21
4440;8645;-29
4448;8731;-33
4453;8926;-53
4434;9105;-87
4360;9384;-64
4288;9550;-95
4197;9705;-84
4034;9905;-49
3930;10004;-35
3805;10099;-29
3654;10192;-31
3494;10275;-28
3309;10368;-26
3155;10456;-24
3011;10551;-25
2847;10680;-8
2748;10769;1
2638;10880;8
2505;11028;3
2400;11149;2
2261;11297;10
2170;11386;15
2070;11474;19
1965;11558;21
1819;11663;23
1699;11741;27
1590;11804;30
1480;11863;33
1317;11940;38
1135;12019;38
969;12091;39
852;12140;38
689;12216;39
539;12310;35
430;12407;31
382;12465;28
313;12572;25
274;12656;21
242;12755;15
225;12844;9
218;12910;6
218;12973;4
222;13045;6
234;13116;8
274;13259;16
322;13392;19
381;13550;14
461;13767;6
508;13898;4
565;14052;0
603;14156;-1
653;14292;-6
708;14445;-14
756;14616;-16
782;14758;-19
793;14930;-24
783;15135;-34
736;15373;-26
685;15559;-25
627;15750;-34
586;15908;-34
555;16083;-35
528;16414;-44
511;16587;-49
454;16798;-59
391;16933;-67
309;17058;-90
220;17159;-53
16;17344;-59
-101;17433;-61
-244;17529;-68
-416;17626;-76
-679;17760;-94
-972;17908;-104
-1096;17969;-102
-1265;18062;-100
-1349;18120;-100
-1419;18175;-100
-1473;18225;-100
-1537;18294;-100
-1619;18390;-100
-1694;18482;-101
-1756;18556;-101
-1838;18654;-100
-1917;18742;-101
-2040;18850;-100
-2127;18901;-101
-2214;18935;-101
-2313;18955;-102
-2459;18954;-102
-2584;18924;-102
-2743;18850;-101
-2938;18778;-99
-3143;18761;-100
-3335;18797;-101
-3472;18856;-99
-3714;19026;-100
-3962;19222;-99
-4186;19400;-99
-4355;19533;-95
-4525;19665;-95
-4667;19778;-96
-4835;19909;-96
-4937;19991;-96
-5034;20070;-96
-5133;20168;-96
-5247;20312;-95
-5364;20520;-95
-5497;20784;-95
-5700;21022;-93
-5880;21146;-93
-6271;21308;-92
-6788;21481;-91
-6983;21548;-90
-7355;21677;-86
-7564;21747;-83
-7755;21850;-83
-7863;21980;-81
-7896;22183;-80
-7898;22468;-78
-7767;22711;-71
-7677;22871;-71
-7613;22958;-74
-7531;23119;-71
-7454;23404;-72
-7388;23612;-70
-7271;23867;-66
-7181;24114;-65
-7161;24291;-65
-7173;24435;-64
-7210;24574;-62
-7257;24679;-63
-7350;24838;-61
-7440;25015;-58
-7484;25223;-57
-7478;25452;-56
-7453;25761;-53
-7448;25949;-52
-7477;26188;-51
-7543;26426;-36
-7596;26597;-27
-7644;26752;-22
-7681;26878;-17
-7711;27009;-9
-7727;27150;-8
-7724;27310;-10
-7712;27398;-9
-7673;27581;-12
-7652;27760;-12
-7677;27978;-15
-7734;28147;-21
-7820;28358;-25
-7870;28489;-25
-7964;28774;-24
-7988;28927;-22
-7997;29107;-20
-7997;29279;-18
-8010;29480;-16
-8056;29708;-14
-8096;29829;-13
-8168;30003;-10
-8316;30283;-7
-8358;30370;-6
-8451;30506;-5
-8623;30747;-1
-8791;30981;2
-8938;31190;10
-9110;31433;14
-9159;31500;15
-9388;31838;19
-9510;32015;20
-9660;32231;23
-9783;32407;19
-9844;32493;25
-9911;32590;25
-9976;32684;24
-10044;32782;27
-10143;32922;36
-10246;33070;49
-10317;33174;55
-10365;33238;59
-10437;33308;61
-10656;33476;62
-10848;33634;61
-10988;33744;61
-11093;33825;61
-11210;33917;61
-11287;33980;62
-11510;34153;67
-11633;34250;71
-11816;34394;78
-12002;34547;86
-12097;34670;87
-12228;34885;83
-12350;35086;86
-12507;35340;87
-12567;35441;87
-12678;35624;94
-12787;35803;96
-12917;36016;99
-13001;36154;105
-13063;36258;106
-13150;36415;106
-13231;36575;102
-13323;36773;95
-13418;37005;96
-13480;37159;94
-13558;37353;92
-13652;37590;91
-13688;37687;90
-13776;37941;100
-13821;38083;106
-13863;38222;109
-13884;38310;107
-13913;38469;103
-13942;38690;102
-13968;38840;103
-14018;39034;84
-14086;39293;84
-14123;39452;86
-14154;39578;83
-14193;39753;104
-14229;39892;108
-14289;40024;106
-14390;40148;112
-14513;40237;117
-14659;40295;120
-14772;40329;122
-14931;40378;126
-15066;40429;131
-15160;40483;136
-15298;40597;139
-15411;40698;142
-15500;40776;142
-15592;40854;144
-15701;40945;149
-15811;41035;152
-16152;41310;155
-16301;41442;156
-16389;41524;156
-16490;41601;153
-16659;41674;153
-16790;41696;143
-16884;41700;141
-17086;41688;126
-17248;41669;123
-17366;41655;119
-17497;41645;108
-17615;41651;102
-17717;41677;102
-17818;41728;102
-17918;41811;103
-18018;41931;105
-18107;42054;111
-18195;42180;113
-18302;42325;127
-18421;42460;139
-18514;42544;142
-18626;42632;151
-18941;42853;147
-19068;42936;145
-19203;43007;148
-19346;43055;152
-19581;43108;154
-19750;43154;159
-19884;43211;158
-20008;43286;133
-20106;43362;121
-20172;43418;114
-20269;43501;108
-20410;43611;99
-20554;43711;104
-20692;43795;107
-20846;43887;115
-20969;43961;118
-21059;44022;120
-21152;44095;123
-21225;44164;125
-21318;44271;123
-21425;44421;117
-21480;44505;117
-21599;44688;120
-21758;44931;109
-21893;45150;117
-21998;45327;114
-22124;45540;107
-22208;45695;98
-22280;45861;97
-22328;45999;104
-22366;46118;107
-22424;46301;106
-22472;46459;110
-22544;46684;115
-22565;46763;113
-22589;46882;106
-22608;46990;105
-22628;47096;99
-22668;47315;99
-22701;47505;101
-22736;47729;104
-22759;47992;112
-22775;48143;118
-22807;48269;115
-22880;48434;121
-23035;48666;110
-23116;48776;110
-23269;48985;117
-23437;49217;119
-23472;49274;119
-23537;49394;120
-23744;49615;124
-23994;49844;132
-24159;49975;129
